n,asymptotic.mse,boot.mse,asymptotic.rate1.se,boot.rate1.se,asymptotic.rate2.se,boot.rate2.se,asymptotic.rate3.se,boot.rate3.se,rate1,rate1.bias,rate2,rate2.bias,rate3,rate3.bias
3300,0.008998046972628399,0.008970937993966907,0.04986652914343754,0.05054316482787248,0.05457837346703841,0.05477061760407827,0.05943548934355274,0.05845020283842419,1.0213560402245443,-3.330377031431329e-5,1.3165939406474807,-4.2901423299764606e-5,1.634910075314031,0.0013678232876231473
3400,0.008318978469717339,0.008705528075760163,0.0480784671261781,0.04923911787789517,0.04968517605739877,0.05150909583252221,0.059488005082198196,0.06020604505706235,0.9768921705412564,-1.8627037593306163e-4,1.1085683069048928,0.0015286976862740947,1.749833638795225,0.0015656970683428522
3500,0.008883994793792021,0.008782296738804244,0.04893897598456689,0.048659368253524765,0.052771140759648914,0.05322652752123826,0.060861959599567014,0.05984437706282432,1.0141607989982497,1.670263347504802e-5,1.2169092442845788,-5.231540408116688e-5,1.7998009517919835,0.001379614239336899
3600,0.008354922523381677,0.008357882609689768,0.047772394471390624,0.047867993427514056,0.05162493496593818,0.05204740882640045,0.058374540166190404,0.057945673640024946,1.0049435945273035,6.125138868904693e-4,1.248704617856585,6.302319600142779e-4,1.7205993094738723,8.962064049177469e-4
3700,0.00832438153050635,0.008449905601808702,0.04726694444202615,0.04784072782577441,0.052491479897491575,0.052596324542198834,0.057748264318436444,0.05824469741967431,0.9656425830749893,0.001403657206458422,1.3073824802135412,-0.00061912631686579045,1.6786216678449992,0.0012992958770148626
3800,0.008349783352539183,0.008287598735116699,0.048183578250383434,0.047891369269332865,0.05128919419438808,0.05098433645591616,0.058288461108685206,0.05826871223036182,1.0681679884201678,3.3107204437905085e-4,1.2515018647669462,8.788447626913225e-4,1.785180012341718,3.817914387528746e-4
3900,0.007848019742573455,0.007836763884997381,0.046872169749075814,0.04623112579697503,0.04913854727162692,0.0497483375004389,0.05688956510311327,0.05674952151493722,1.0502745403421418,0.0015997574621440607,1.1635681956048836,-0.0014316172926854228,1.7712973493924196,-9.997043328347258e-4
4000,0.008085742208979578,0.008007094972524248,0.04753405517747,0.04705098497124608,0.05059120649126147,0.050367153202102305,0.05715580139516337,0.05706837175977454,1.0793591409238878,6.280306808546564e-5,1.2810530994631284,-2.2890941987063908e-4,1.767894194611706,-0.0010935053218122173
4100,0.007683949354453206,0.00759819694674257,0.04400219572848367,0.04383876632241965,0.04999086807661217,0.04940792306765353,0.056997098474151985,0.05687616245510476,0.9309704429998136,-3.794570450454297e-4,1.3014054195681193,-3.6434049542740727e-4,1.8508801242440815,0.0012496561833579695
4200,0.007388045951978945,0.0073107967803083965,0.0447807033601214,0.04534652961329146,0.04845837312192839,0.048575194837174956,0.05508648321437596,0.053784865428812896,1.0089448845519766,1.354460464828259e-4,1.2421589596542573,0.0017221036045278401,1.765580683410709,-7.781240441901143e-4
4300,0.006845933774241938,0.007044166455640797,0.04247401453686543,0.043155672005142046,0.046400553925349745,0.046383527348453496,0.05374830656667047,0.055036276587594815,0.947986550736221,-2.825938479535697e-4,1.1981580264236398,0.0014026426287766858,1.7491873729482477,8.320943231920302e-4
4400,0.006892396816521161,0.006812544342955261,0.04306204718595541,0.042830790920684994,0.04701515055338084,0.046393109956263966,0.05317548802896542,0.0531626481436592,1.0081897426427096,-9.43177063760152e-5,1.2540691608665853,1.1259493860918259e-4,1.7481046656885788,-9.060477059036454e-4
4500,0.00665900833304782,0.00668558910106278,0.04263598715105603,0.04327333352185834,0.04607450457347356,0.04651685737088751,0.05213751970521584,0.05147605109568504,0.9963818268002388,1.5549195257077294e-5,1.2419691831707522,7.293767991039708e-4,1.740219768247499,-4.591897834364687e-4
4600,0.006557277857006099,0.006436132153738962,0.04230764816053285,0.042507209669911034,0.045825707212422,0.04531442167291237,0.051646348589344006,0.05076074749307189,1.0087907515528096,2.824967254874283e-4,1.2603050195772623,1.0336281431320407e-4,1.7062015644886122,6.448849310391691e-4
4700,0.006630129184810822,0.006715577752267145,0.04215673378855635,0.042542724668356596,0.04556441294224374,0.04589921491137174,0.05269557148679863,0.05289593019678063,1.0236443051442836,-8.511947562450035e-4,1.2300314988860876,0.0011078691088183459,1.810386009879944,6.066159228462075e-4
4800,0.006667443479402915,0.006607607126354079,0.04205844329469011,0.042306910532185604,0.04664598478313295,0.04615539611505452,0.05217933432540111,0.05184292375838278,1.0111772681011741,-7.715432474520009e-4,1.3140239380391405,6.641891086831016e-4,1.8003310600632574,-9.090582206977012e-5
4900,0.006133417109914114,0.00603654541791711,0.03983294918555626,0.039303726032508216,0.04487892571751803,0.045193795921920896,0.05032529478837164,0.04948931653899639,0.9100201246858113,4.089506373076397e-4,1.2792412766484738,2.1995580114165568e-4,1.752310975643831,0.0010404644518167423
5000,0.006198893237922549,0.006157981147836087,0.0412190617872259,0.0407703475726374,0.04415167960620364,0.04424849696645423,0.05050258776790101,0.050382922918437094,1.0177449818331807,-3.585628875014514e-4,1.2309049224303212,6.89326217587861e-4,1.7744849064910808,1.3957434490045412e-4
